,Area,Size,Rent,Manhattan,Queens,Brooklyn,Bronx,Staten Island,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,One Bathrooms,Two Bathrooms,Three Bathrooms,Four Bathrooms
88,85,612,2650,0,0,1,0,0,0,0,0,0,0,0,0,0
89,86,630,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
90,87,625,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
91,86,630,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
92,87,633,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
93,86,612,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
94,87,590,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
95,87,612,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
96,86,612,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
97,86,612,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
98,87,624,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
99,86,622,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
100,87,622,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
101,86,630,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
102,87,634,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
103,87,632,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
104,86,639,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
105,86,633,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
106,87,638,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
107,86,622,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
108,87,624,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
109,86,612,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
110,87,624,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
111,87,630,1500,0,0,0,1,0,0,0,0,0,0,0,0,0
112,86,620,1450,0,0,0,1,0,0,0,0,0,0,0,0,0
113,88,600,1290,0,0,0,0,1,0,0,0,0,0,0,0,0
114,88,650,1191,0,0,0,0,1,0,0,0,0,0,0,0,0
115,88,632,1392,0,0,0,0,1,0,0,0,0,0,0,0,0
116,88,550,1293,0,0,0,0,1,0,0,0,0,0,0,0,0
117,88,640,994,0,0,0,0,1,0,0,0,0,0,0,0,0
118,88,600,800,0,0,0,0,1,0,0,0,0,0,0,0,0
119,88,640,1252,0,0,0,0,1,0,0,0,0,0,0,0,0
120,88,590,925,0,0,0,0,1,0,0,0,0,0,0,0,0
121,88,585,825,0,0,0,0,1,0,0,0,0,0,0,0,0
122,88,600,1000,0,0,0,0,1,0,0,0,0,0,0,0,0
123,88,612,890,0,0,0,0,1,0,0,0,0,0,0,0,0
124,88,634,999,0,0,0,0,1,0,0,0,0,0,0,0,0
125,88,620,875,0,0,0,0,1,0,0,0,0,0,0,0,0
126,88,640,925,0,0,0,0,1,0,0,0,0,0,0,0,0
127,88,650,912,0,0,0,0,1,0,0,0,0,0,0,0,0
128,88,590,899,0,0,0,0,1,0,0,0,0,0,0,0,0
129,88,585,924,0,0,0,0,1,0,0,0,0,0,0,0,0
130,88,600,1002,0,0,0,0,1,0,0,0,0,0,0,0,0
131,88,590,946,0,0,0,0,1,0,0,0,0,0,0,0,0
132,88,612,966,0,0,0,0,1,0,0,0,0,0,0,0,0
133,88,624,899,0,0,0,0,1,0,0,0,0,0,0,0,0
134,88,594,924,0,0,0,0,1,0,0,0,0,0,0,0,0
135,0,800,3600,1,0,0,0,0,0,1,0,0,0,0,0,0
136,1,750,3550,1,0,0,0,0,0,1,0,0,0,0,0,0
137,2,650,2795,1,0,0,0,0,0,1,0,0,0,0,0,0
138,3,612,1950,1,0,0,0,0,0,1,0,0,0,0,0,0
139,4,724,3149,1,0,0,0,0,0,1,0,0,0,0,0,0
140,52,624,1700,0,0,1,0,0,0,1,0,0,0,0,0,0
141,7,646,2100,1,0,0,0,0,0,1,0,0,0,0,0,0
142,8,712,2975,1,0,0,0,0,0,1,0,0,0,0,0,0
143,6,766,4170,1,0,0,0,0,0,1,0,0,0,0,0,0
144,89,742,2337,1,0,0,0,0,0,1,0,0,0,0,0,0
145,9,690,2097,1,0,0,0,0,0,1,0,0,0,0,0,0
146,10,722,2782,1,0,0,0,0,0,1,0,0,0,0,0,0
147,12,766,3995,1,0,0,0,0,0,1,0,0,0,0,0,0
148,11,762,3635,1,0,0,0,0,0,1,0,0,0,0,0,0
149,13,750,3500,1,0,0,0,0,0,1,0,0,0,0,0,0
150,14,650,1950,1,0,0,0,0,0,1,0,0,0,0,0,0
151,90,612,1750,1,0,0,0,0,0,1,0,0,0,0,0,0
152,15,734,3750,1,0,0,0,0,0,1,0,0,0,0,0,0
153,17,680,2912,1,0,0,0,0,0,1,0,0,0,0,0,0
154,18,712,3150,1,0,0,0,0,0,1,0,0,0,0,0,0
155,19,650,2297,1,0,0,0,0,0,1,0,0,0,0,0,0
156,16,688,2575,1,0,0,0,0,0,1,0,0,0,0,0,0
157,1,700,3695,1,0,0,0,0,0,1,0,0,0,0,0,0
158,20,692,3400,1,0,0,0,0,0,1,0,0,0,0,0,0
159,21,724,3966,1,0,0,0,0,0,1,0,0,0,0,0,0
160,22,712,3542,1,0,0,0,0,0,1,0,0,0,0,0,0
161,23,670,2750,1,0,0,0,0,0,1,0,0,0,0,0,0
162,25,700,3100,1,0,0,0,0,0,1,0,0,0,0,0,0
163,1,650,2550,1,0,0,0,0,0,1,0,0,0,0,0,0
164,26,630,2716,1,0,0,0,0,0,1,0,0,0,0,0,0
165,27,690,3450,1,0,0,0,0,0,1,0,0,0,0,0,0
166,91,712,3635,1,0,0,0,0,0,1,0,0,0,0,0,0
167,28,790,3700,1,0,0,0,0,0,1,0,0,0,0,0,0
168,2,644,2795,1,0,0,0,0,0,1,0,0,0,0,0,0
169,4,676,3149,1,0,0,0,0,0,1,0,0,0,0,0,0
170,29,612,1800,1,0,0,0,0,0,1,0,0,0,0,0,0
171,92,622,2000,1,0,0,0,0,0,1,0,0,0,0,0,0
172,30,650,3895,1,0,0,0,0,0,1,0,0,0,0,0,0
173,5,724,3850,1,0,0,0,0,0,1,0,0,0,0,0,0
174,31,730,1925,0,1,0,0,0,0,1,0,0,0,0,0,0
175,93,612,1425,0,1,0,0,0,0,1,0,0,0,0,0,0
176,94,650,1625,0,1,0,0,0,0,1,0,0,0,0,0,0
177,48,634,1650,0,1,0,0,0,0,1,0,0,0,0,0,0
178,45,700,1850,0,1,0,0,0,0,1,0,0,0,0,0,0
179,47,612,1670,0,1,0,0,0,0,1,0,0,0,0,0,0
180,42,712,1900,0,1,0,0,0,0,1,0,0,0,0,0,0
181,43,675,1725,0,1,0,0,0,0,1,0,0,0,0,0,0
182,44,720,1900,0,1,0,0,0,0,1,0,0,0,0,0,0
183,95,674,1700,0,1,0,0,0,0,1,0,0,0,0,0,0
184,40,684,1780,0,1,0,0,0,0,1,0,0,0,0,0,0
185,41,750,2075,0,1,0,0,0,0,1,0,0,0,0,0,0
186,96,674,1765,0,1,0,0,0,0,1,0,0,0,0,0,0
187,38,675,1750,0,1,0,0,0,0,1,0,0,0,0,0,0
188,97,690,1825,0,1,0,0,0,0,1,0,0,0,0,0,0
189,39,824,3208,0,1,0,0,0,0,1,0,0,0,0,0,0
190,98,650,1645,0,1,0,0,0,0,1,0,0,0,0,0,0
191,99,644,1610,0,1,0,0,0,0,1,0,0,0,0,0,0
192,37,624,1750,0,1,0,0,0,0,1,0,0,0,0,0,0
193,46,812,2100,0,1,0,0,0,0,1,0,0,0,0,0,0
194,100,650,1672,0,1,0,0,0,0,1,0,0,0,0,0,0
195,40,690,1945,0,1,0,0,0,0,1,0,0,0,0,0,0
196,35,675,1872,0,1,0,0,0,0,1,0,0,0,0,0,0
197,101,724,2246,0,1,0,0,0,0,1,0,0,0,0,0,0
198,102,675,1695,0,1,0,0,0,0,1,0,0,0,0,0,0
199,33,685,1850,0,1,0,0,0,0,1,0,0,0,0,0,0
200,103,690,1695,0,1,0,0,0,0,1,0,0,0,0,0,0
201,104,656,1625,0,1,0,0,0,0,1,0,0,0,0,0,0
202,32,675,1750,0,1,0,0,0,0,1,0,0,0,0,0,0
203,34,670,1700,0,1,0,0,0,0,1,0,0,0,0,0,0
204,105,624,1499,0,0,1,0,0,0,1,0,0,0,0,0,0
205,53,724,2200,0,0,1,0,0,0,1,0,0,0,0,0,0
206,54,625,1575,0,0,1,0,0,0,1,0,0,0,0,0,0
207,55,775,2700,0,0,1,0,0,0,1,0,0,0,0,0,0
208,106,655,1550,0,0,1,0,0,0,1,0,0,0,0,0,0
209,107,675,1750,0,0,1,0,0,0,1,0,0,0,0,0,0
210,83,734,2300,0,0,1,0,0,0,1,0,0,0,0,0,0
211,83,790,2784,0,0,1,0,0,0,1,0,0,0,0,0,0
212,108,612,1487,0,0,1,0,0,0,1,0,0,0,0,0,0
213,84,724,2290,0,0,1,0,0,0,1,0,0,0,0,0,0
214,85,754,2500,0,0,1,0,0,0,1,0,0,0,0,0,0
215,74,760,2500,0,0,1,0,0,0,1,0,0,0,0,0,0
216,75,780,2775,0,0,1,0,0,0,1,0,0,0,0,0,0
217,109,760,2575,0,0,1,0,0,0,1,0,0,0,0,0,0
218,110,600,1512,0,0,0,1,0,0,1,0,0,0,0,0,0
219,111,700,2100,0,0,1,0,0,0,1,0,0,0,0,0,0
220,76,724,2150,0,0,1,0,0,0,1,0,0,0,0,0,0
221,77,850,3747,0,0,1,0,0,0,1,0,0,0,0,0,0
222,78,650,1700,0,0,1,0,0,0,1,0,0,0,0,0,0
223,79,850,3369,0,0,1,0,0,0,1,0,0,0,0,0,0
224,112,624,1500,0,0,1,0,0,0,1,0,0,0,0,0,0
225,80,700,2200,0,0,1,0,0,0,1,0,0,0,0,0,0
226,81,670,1750,0,0,1,0,0,0,1,0,0,0,0,0,0
227,113,640,1680,0,0,1,0,0,0,1,0,0,0,0,0,0
228,73,670,1775,0,0,1,0,0,0,1,0,0,0,0,0,0
229,70,750,2769,0,0,1,0,0,0,1,0,0,0,0,0,0
230,71,724,2725,0,0,1,0,0,0,1,0,0,0,0,0,0
231,67,624,1650,0,0,1,0,0,0,1,0,0,0,0,0,0
232,68,750,2425,0,0,1,0,0,0,1,0,0,0,0,0,0
