Borough,Area,Bedrooms,Bathrooms,Size,Rent
Bronx,Highbridge,Studio,1 Bathroom,622,1450
Bronx,Riverdale,Studio,1 Bathroom,624,1500
Bronx,Highbridge,Studio,1 Bathroom,612,1450
Bronx,Riverdale,Studio,1 Bathroom,624,1500
Bronx,Riverdale,Studio,1 Bathroom,630,1500
Bronx,Highbridge,Studio,1 Bathroom,620,1450
Staten Island,Arden Heights,Studio,1 Bathroom,600,1290
Staten Island,Arden Heights,Studio,1 Bathroom,650,1191
Staten Island,Arden Heights,Studio,1 Bathroom,632,1392
Staten Island,Arden Heights,Studio,1 Bathroom,550,1293
Staten Island,Arden Heights,Studio,1 Bathroom,640,994
Staten Island,Arden Heights,Studio,1 Bathroom,600,800
Staten Island,Arden Heights,Studio,1 Bathroom,640,1252
Staten Island,Arden Heights,Studio,1 Bathroom,590,925
Staten Island,Arden Heights,Studio,1 Bathroom,585,825
Staten Island,Arden Heights,Studio,1 Bathroom,600,1000
Staten Island,Arden Heights,Studio,1 Bathroom,612,890
Staten Island,Arden Heights,Studio,1 Bathroom,634,999
Staten Island,Arden Heights,Studio,1 Bathroom,620,875
Staten Island,Arden Heights,Studio,1 Bathroom,640,925
Staten Island,Arden Heights,Studio,1 Bathroom,650,912
Staten Island,Arden Heights,Studio,1 Bathroom,590,899
Staten Island,Arden Heights,Studio,1 Bathroom,585,924
Staten Island,Arden Heights,Studio,1 Bathroom,600,1002
Staten Island,Arden Heights,Studio,1 Bathroom,590,946
Staten Island,Arden Heights,Studio,1 Bathroom,612,966
Staten Island,Arden Heights,Studio,1 Bathroom,624,899
Staten Island,Arden Heights,Studio,1 Bathroom,594,924
Manhattan,Downtown,1 Bedroom,1 Bathroom,800,3600
Manhattan,Midtown,1 Bedroom,1 Bathroom,750,3550
Manhattan,Upper East Side,1 Bedroom,1 Bathroom,650,2795
Manhattan,Upper Manhattan,1 Bedroom,1 Bathroom,612,1950
Manhattan,Upper West Side,1 Bedroom,1 Bathroom,724,3149
Brooklyn,Bay Ridge,1 Bedroom,1 Bathroom,624,1700
Manhattan,Central Harlem,1 Bedroom,1 Bathroom,646,2100
Manhattan,Central Park South,1 Bedroom,1 Bathroom,712,2975
Manhattan,Chelsea,1 Bedroom,1 Bathroom,766,4170
Manhattan,Chinatown,1 Bedroom,1 Bathroom,742,2337
Manhattan,East Harlem,1 Bedroom,1 Bathroom,690,2097
Manhattan,East Village,1 Bedroom,1 Bathroom,722,2782
Manhattan,Financial District,1 Bedroom,1 Bathroom,766,3995
Manhattan,Flatiron,1 Bedroom,1 Bathroom,762,3635
Manhattan,Gramercy Park,1 Bedroom,1 Bathroom,750,3500
Manhattan,Hamilton Heights,1 Bedroom,1 Bathroom,650,1950
Manhattan,Inwood,1 Bedroom,1 Bathroom,612,1750
Manhattan,Greenwich Village,1 Bedroom,1 Bathroom,734,3750
Manhattan,Lower East Side,1 Bedroom,1 Bathroom,680,2912
Manhattan,Manhattan,1 Bedroom,1 Bathroom,712,3150
Manhattan,Manhattanville,1 Bedroom,1 Bathroom,650,2297
Manhattan,Little Italy,1 Bedroom,1 Bathroom,688,2575
Manhattan,Midtown,1 Bedroom,1 Bathroom,700,3695
